LAST EDITED DATE	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	TRIP COMMENTS	
2023-07-08 23:54:31.161003	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-05-20	05:59:00	obsr669221	S138571704	Traveling	P22	EBIRD	123	1.940		2	1	G10277348		
2024-03-06 04:18:46.759251	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-12-30	14:30:00	obsr1190104	S159744170	Traveling	P22	EBIRD	180	5.000		1	1			
2023-01-30 11:08:10.605233	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-01-22	06:20:00	obsr1212362	S127265685	Traveling	P22	EBIRD	350	3.219		11	1	G9552407		
2023-01-31 20:09:17.554633	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-01-22	06:20:00	obsr964946	S126995342	Traveling	P22	EBIRD	350	3.219		11	1	G9552407		
2024-01-21 07:44:07.017753	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-03-29	08:00:00	obsr235781	S132152663	Traveling	P22	EBIRD	240	4.828		3	1		Miguel Portura guide	
2023-09-27 18:32:46.493789	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-09-23	06:25:00	obsr927113	S150594949	Traveling	P22	EBIRD	359	6.254		2	1	G10881851		
2023-09-29 23:12:19.883077	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-09-23	06:25:00	obsr894261	S150593714	Traveling	P22	EBIRD	359	6.254		2	1	G10881851		
2023-11-22 19:33:44.325741	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-11-16	14:45:00	obsr1074750	S154688418	Traveling	P22	EBIRD	143	4.978		1	1			
2023-06-12 23:09:34.625309	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-05-20	12:04:00	obsr669221	S138572343	Traveling	P22	EBIRD	88	1.330		2	1	G10277387		
2023-06-12 23:11:00.029982	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-05-20	08:03:00	obsr540781	S138571879	Traveling	P22	EBIRD	96	1.500		2	1	G10277367		
2023-06-12 23:11:00.029982	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-05-20	08:03:00	obsr669221	S138571878	Traveling	P22	EBIRD	96	1.500		2	1	G10277367		
2023-06-12 23:09:34.625309	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-05-20	12:04:00	obsr540781	S138572346	Traveling	P22	EBIRD	88	1.330		2	1	G10277387		
2023-06-12 23:04:48.713086	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-05-20	10:05:00	obsr540781	S138572159	Traveling	P22	EBIRD	95	0.860		2	1	G10277379		
2023-06-12 23:04:48.713086	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-05-20	10:05:00	obsr669221	S138572158	Traveling	P22	EBIRD	95	0.860		2	1	G10277379		
2023-12-08 12:17:26.227914	Colombia	CO	Vaupés	CO-VAU							Municipio de Carurú	L6475344	P	1.0133716	-71.2995636	2023-05-23	17:22:00	obsr723466	S155953946	Traveling	P22	EBIRD	38	0.590		1	1			
2023-10-24 05:14:56.49871	Colombia	CO	Vaupés	CO-VAU							camino tayasu- oswaldo	L6333630	P	1.1167220	-70.1062780	2023-03-05	15:23:00	obsr35239	S130847296	Traveling	P22	EBIRD	410	21.000		7	1	G9808470		
